business_id,date
XQfwVwDr-v0ZS3_CbbE5Xw,4/15/2017 15:45
XQfwVwDr-v0ZS3_CbbE5Xw,4/17/2017 15:27
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 13:45
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 14:14
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 14:34
XQfwVwDr-v0ZS3_CbbE5Xw,5/2/2017 15:11
XQfwVwDr-v0ZS3_CbbE5Xw,5/12/2017 16:49
XQfwVwDr-v0ZS3_CbbE5Xw,5/14/2017 12:29
XQfwVwDr-v0ZS3_CbbE5Xw,5/17/2017 16:42
XQfwVwDr-v0ZS3_CbbE5Xw,5/20/2017 16:30
XQfwVwDr-v0ZS3_CbbE5Xw,5/20/2017 19:38
XQfwVwDr-v0ZS3_CbbE5Xw,5/21/2017 14:05
XQfwVwDr-v0ZS3_CbbE5Xw,5/28/2017 13:27
XQfwVwDr-v0ZS3_CbbE5Xw,6/3/2017 14:58
XQfwVwDr-v0ZS3_CbbE5Xw,6/3/2017 16:25
XQfwVwDr-v0ZS3_CbbE5Xw,6/11/2017 16:42
XQfwVwDr-v0ZS3_CbbE5Xw,6/17/2017 14:03
XQfwVwDr-v0ZS3_CbbE5Xw,6/17/2017 16:33
XQfwVwDr-v0ZS3_CbbE5Xw,6/18/2017 13:51
XQfwVwDr-v0ZS3_CbbE5Xw,6/20/2017 13:58
XQfwVwDr-v0ZS3_CbbE5Xw,7/1/2017 15:39
XQfwVwDr-v0ZS3_CbbE5Xw,7/2/2017 17:07
XQfwVwDr-v0ZS3_CbbE5Xw,7/4/2017 15:33
XQfwVwDr-v0ZS3_CbbE5Xw,7/22/2017 15:23
XQfwVwDr-v0ZS3_CbbE5Xw,8/7/2017 16:47
XQfwVwDr-v0ZS3_CbbE5Xw,8/30/2017 16:08
XQfwVwDr-v0ZS3_CbbE5Xw,9/1/2017 12:24
XQfwVwDr-v0ZS3_CbbE5Xw,9/3/2017 14:25
XQfwVwDr-v0ZS3_CbbE5Xw,9/10/2017 14:27
XQfwVwDr-v0ZS3_CbbE5Xw,9/23/2017 13:12
XQfwVwDr-v0ZS3_CbbE5Xw,10/4/2017 13:29
XQfwVwDr-v0ZS3_CbbE5Xw,10/7/2017 13:45
XQfwVwDr-v0ZS3_CbbE5Xw,10/9/2017 15:03
XQfwVwDr-v0ZS3_CbbE5Xw,10/22/2017 13:12
XQfwVwDr-v0ZS3_CbbE5Xw,10/29/2017 13:24
XQfwVwDr-v0ZS3_CbbE5Xw,12/16/2017 15:39
XQfwVwDr-v0ZS3_CbbE5Xw,12/16/2017 15:41
XQfwVwDr-v0ZS3_CbbE5Xw,12/24/2017 15:31
